"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.115297554E2,2.354754106E1,8.728918590E1,8.623004160E1,3.228839111E1,1.080000043E0,2.370000076E1,1.774960716E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.125275938E2,2.354755045E1,8.728918901E1,8.638286574E1,3.244122314E1,1.080000043E0,2.479999924E1,1.786790593E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.135286044E2,2.354756042E1,8.728919306E1,8.628648321E1,3.234484863E1,1.110000014E0,2.560000038E1,1.797646183E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.145242122E2,2.354756954E1,8.728919686E1,8.588468149E1,3.194305420E1,1.110000014E0,2.900000000E1,1.807088291E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.155271305E2,2.354757683E1,8.728920161E1,8.597165160E1,3.203002930E1,1.059999943E0,3.290000153E1,1.816867211E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.165273525E2,2.354758408E1,8.728920704E1,8.618624661E1,3.224462891E1,1.070000052E0,3.540000153E1,1.825147066E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.175267614E2,2.354759042E1,8.728921130E1,8.542904019E1,3.148742676E1,1.070000052E0,2.850000000E1,1.833779607E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.185267568E2,2.354759751E1,8.728921475E1,8.547029454E1,3.152868652E1,9.900000095E-1,2.100000000E1,1.844424985E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.195272219E2,2.354760605E1,8.728921947E1,8.539613057E1,3.145452881E1,1.009999990E0,2.400000000E1,1.855732464E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.205269737E2,2.354761447E1,8.728922569E1,8.553479706E1,3.159320068E1,1.070000052E0,3.089999962E1,1.867082111E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.215267564E2,2.354762374E1,8.728923035E1,8.516003419E1,3.121844482E1,1.070000052E0,2.250000000E1,1.877694702E-1,3.790092468E0,2.500000000E0,2.300000000E1
1.225237503E2,2.354763178E1,8.728923596E1,8.488738484E1,3.094580078E1,1.070000052E0,3.300000000E1,1.888676578E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.235266518E2,2.354763887E1,8.728924346E1,8.432390485E1,3.038232422E1,1.049999952E0,4.740000153E1,1.900010259E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.245262532E2,2.354764655E1,8.728925077E1,8.403441100E1,3.009283447E1,1.070000052E0,4.179999924E1,1.911506366E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.255269485E2,2.354765494E1,8.728925736E1,8.391959869E1,2.997802734E1,1.080000043E0,3.779999924E1,1.922749198E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.265256679E2,2.354766354E1,8.728926316E1,8.354782778E1,2.960626221E1,1.080000043E0,3.370000076E1,1.932368658E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.275271598E2,2.354767053E1,8.728926872E1,8.358621461E1,2.964465332E1,1.039999962E0,3.170000076E1,1.943940580E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.285270963E2,2.354767750E1,8.728927715E1,8.340933189E1,2.946777344E1,1.190000057E0,4.390000153E1,1.954924384E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.295272482E2,2.354768517E1,8.728928394E1,8.338057998E1,2.943902588E1,1.100000024E0,3.790000153E1,1.965896197E-1,3.790092468E0,2.500000000E0,2.400000000E1
1.305268001E2,2.354769143E1,8.728929226E1,8.315120768E1,2.920965576E1,1.090000033E0,5.529999924E1,1.978531609E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.315234771E2,2.354770087E1,8.728929916E1,8.305238568E1,2.911083984E1,1.100000024E0,4.040000153E1,1.990983995E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.325259250E2,2.354771063E1,8.728930515E1,8.326636809E1,2.932482910E1,1.080000043E0,3.479999924E1,2.003789024E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.335274393E2,2.354772101E1,8.728931059E1,8.366260058E1,2.972106934E1,1.080000043E0,3.379999924E1,2.015972257E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.345268237E2,2.354773067E1,8.728931623E1,8.370721036E1,2.976568604E1,1.080000043E0,3.200000000E1,2.027927861E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.355268265E2,2.354773987E1,8.728932230E1,8.417271924E1,3.023120117E1,1.080000043E0,3.189999962E1,2.040506863E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.365272812E2,2.354774974E1,8.728932833E1,8.461625478E1,3.067474365E1,1.039999962E0,2.650000000E1,2.053588009E-1,3.790092468E0,2.500000000E0,2.600000000E1
