time,wx (rad/s),wy (rad/s),wz (rad/s)
1.743591,0.06,-0.07,0.02
1.746596,0.06,-0.08,0.02
1.748457,0.05,-0.09,0.02
1.750891,0.05,-0.10,0.02
1.753881,0.04,-0.10,0.02
1.760096,0.03,-0.10,0.01
1.760831,0.02,-0.10,0.01
1.761268,0.01,-0.10,0.01
1.763364,0.00,-0.10,0.01
1.766508,-0.01,-0.09,0.01
1.769126,-0.01,-0.09,0.01
1.771356,-0.03,-0.08,0.01
1.773029,-0.04,-0.07,0.01
1.775907,-0.04,-0.07,0.01
1.780213,-0.05,-0.06,0.01
1.780757,-0.05,-0.05,0.00
1.789586,-0.06,-0.05,0.00
1.790850,-0.06,-0.04,0.00
1.791483,-0.07,-0.03,0.00
1.792099,-0.07,-0.03,0.00
1.792756,-0.07,-0.02,0.01
1.796048,-0.07,-0.02,0.01
1.824417,-0.07,-0.01,0.01
1.825281,-0.07,-0.01,0.01
1.825602,-0.06,-0.01,0.01
1.825910,-0.05,-0.01,0.01
1.826223,-0.04,-0.01,0.01
1.826520,-0.04,-0.01,0.01
1.826833,-0.03,-0.01,0.01
1.827115,-0.02,-0.01,0.01
1.827387,-0.01,-0.02,0.02
1.827661,0.01,-0.02,0.02
1.827946,0.02,-0.02,0.02
1.828214,0.03,-0.02,0.02
1.828598,0.04,-0.02,0.02
1.829129,0.05,-0.03,0.02
1.832001,0.06,-0.03,0.03
1.834263,0.07,-0.03,0.03
1.836725,0.08,-0.03,0.03
1.839670,0.08,-0.03,0.03
