time,I
155.249409,0.00
155.453503,0.00
155.866730,22.11
156.068517,22.11
156.271032,22.11
156.476036,22.11
156.681038,22.11
157.089914,0.00
157.298191,0.00
157.499325,0.00
157.702988,0.00
157.907239,0.00
158.114584,0.00
158.317348,0.00
158.524639,0.00
158.727840,0.00
158.928224,0.00
159.135961,0.00
159.341372,0.00
159.545528,0.00
159.746488,0.00
159.952941,0.00
160.159266,0.00
160.361792,0.00
160.568500,0.00
160.772499,0.00
160.978288,0.00
161.181791,0.00
161.386287,0.00
161.590683,0.00
161.795009,0.00
161.998890,0.00
162.202522,0.00
162.406708,0.00
162.611280,0.00
162.817355,0.00
163.021606,0.00
163.225205,0.00
163.430483,0.00
163.634547,0.00
163.837640,0.00
164.042028,0.00
164.252090,0.00
164.451893,0.00
164.665438,0.00
164.859672,0.00
165.076067,0.00
165.280664,0.00
165.474047,0.00
165.679628,0.00
165.887160,0.00
166.090226,0.00
166.297410,0.00
166.497204,0.00
166.699976,0.00
166.907818,0.00
167.110092,0.00
167.314032,0.00
167.518181,0.00
167.725896,0.00
167.928808,0.00
168.134187,0.00
168.336964,0.00
168.543210,0.00
168.745877,0.00
169.158622,0.00
169.360415,0.00
169.563976,0.00
169.771623,0.00
169.972449,0.00
170.177069,0.00
170.380919,0.00
170.589309,0.00
170.790752,0.00
170.995682,0.00
171.410052,5.44
171.610521,5.44
171.812672,5.44
172.229265,32.43
172.428781,32.43
172.633492,32.43
172.836345,32.43
173.042264,32.43
173.245821,32.43
173.451317,32.43
173.655977,32.43
173.859383,32.43
174.063110,32.43
174.268561,32.43
174.680805,4.51
174.881935,4.51
175.085418,4.51
175.290333,4.51
175.494467,4.51
175.906505,16.71
176.314938,13.89
176.517516,13.89
176.721527,13.89
176.926051,13.89
177.142862,13.89
177.339387,13.89
177.539367,13.89
177.749368,13.89
177.947045,13.89
178.162745,13.89
178.360241,13.89
178.561813,13.89
178.773152,13.89
178.972362,13.89
179.186892,13.89
179.382734,13.89
179.588403,13.89
179.995634,0.00
180.197624,0.00
180.612083,6.15
180.810266,0.00
181.014421,0.00
181.224407,0.00
181.428867,0.00
181.626010,0.00
181.831172,0.00
182.035535,0.00
182.239443,0.00
182.447781,0.00
182.651086,0.00
182.852511,0.00
183.058461,0.00
183.263197,0.00
183.467954,0.00
183.672910,0.00
183.877861,0.00
184.082231,0.00
184.297464,0.00
184.490638,0.00
184.695774,0.00
184.900019,0.00
185.106780,0.00
185.308588,0.00
185.513680,0.00
185.718576,0.00
185.924265,0.00
186.127495,0.00
186.331936,0.00
186.536989,0.00
186.741873,0.00
186.947838,0.00
187.150751,0.00
187.353842,0.00
